brand,products,with_tokens,tokens_coverage_pct,unknown_rate
Brit,73,73,100.0,0
Alpha,53,53,100.0,0
Briantos,46,46,100.0,0
Bozita,34,34,100.0,0
Belcando,34,34,100.0,0
Barking,33,33,100.0,0
Acana,32,32,100.0,0
Arden,32,32,100.0,0
Applaws,31,31,100.0,0
Borders,29,29,100.0,0
bosch,26,26,100.0,0
Advance Veterinary Diets,26,26,100.0,0
Arion,26,26,100.0,0
Bright,25,25,100.0,0
BETTY,24,24,100.0,0
Bounce,20,20,100.0,0
Autarky,19,19,100.0,0
Biofood,18,18,100.0,0
Ambrosia,18,18,100.0,0
Aatu,16,16,100.0,0
Browns,16,16,100.0,0
Affinity,16,16,100.0,0
Bakers,15,15,100.0,0
Aldi,15,15,100.0,0
Amazon,15,15,100.0,0
Arden Grange,14,14,100.0,0
Benyfit,14,14,100.0,0
Akela,14,14,100.0,0
Almo Nature,13,13,100.0,0
Burgess,12,12,100.0,0
Beta,12,12,100.0,0
ASDA,12,12,100.0,0
4PAWSRAW,11,11,100.0,0
Billy,10,10,100.0,0
Buddy,9,9,100.0,0
Aflora,9,9,100.0,0
Bosch,9,9,100.0,0
Animonda,9,9,100.0,0
Brigadiers,9,9,100.0,0
Bentleys,8,8,100.0,0
Boost,8,8,100.0,0
Beco,8,8,100.0,0
Bear,7,7,100.0,0
Arquivet,7,7,100.0,0
Arkwrights,7,7,100.0,0
AniForte,7,7,100.0,0
BugBell,6,6,100.0,0
Burns,6,6,100.0,0
4PAWS,6,6,100.0,0
BIG,6,6,100.0,0
